               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.042951,            0.057276,           0.0040801,             0.77302,             0.64277,             0.72691,             0.48391,            0.038055,            0.034505,           0.0084125,            0.002872,            0.002872,            0.002872
                  38,            0.042052,            0.057227,           0.0039027,             0.78464,             0.63816,             0.73083,             0.48673,            0.038001,            0.034528,           0.0086906,            0.002674,            0.002674,            0.002674
                  39,            0.042427,            0.057152,           0.0038439,             0.78656,             0.64699,             0.73498,             0.49154,            0.037916,            0.034364,           0.0084329,            0.002476,            0.002476,            0.002476
                  40,            0.042882,            0.056945,           0.0036239,             0.79244,             0.64163,             0.73438,             0.49249,             0.03786,            0.034323,           0.0088329,            0.002278,            0.002278,            0.002278
                  41,            0.042352,            0.056682,           0.0035163,              0.7929,             0.64522,             0.73641,             0.49284,            0.037846,            0.034305,           0.0083717,             0.00208,             0.00208,             0.00208
                  42,            0.041909,            0.056497,            0.003468,             0.78623,              0.6488,             0.73651,             0.49422,            0.037908,            0.034339,           0.0084767,            0.001882,            0.001882,            0.001882
                  43,            0.041429,             0.05502,           0.0034507,             0.78763,             0.65177,             0.74092,             0.49837,            0.037883,            0.034228,           0.0082195,            0.001684,            0.001684,            0.001684
                  44,            0.041241,            0.055902,           0.0033596,             0.79314,              0.6478,             0.73983,             0.49791,            0.037878,            0.034239,           0.0083066,            0.001486,            0.001486,            0.001486
                  45,            0.041833,            0.055666,           0.0032055,             0.78967,             0.65496,             0.74146,             0.49984,            0.037834,            0.034245,           0.0082491,            0.001288,            0.001288,            0.001288
                  46,            0.041362,            0.056146,           0.0030137,             0.79248,             0.65314,             0.74255,             0.50125,            0.037821,            0.034254,           0.0081376,             0.00109,             0.00109,             0.00109
                  47,            0.041148,            0.055229,           0.0031063,             0.79181,             0.65835,             0.74358,             0.50245,            0.037745,            0.034229,            0.008115,            0.000892,            0.000892,            0.000892
                  48,            0.041158,            0.055246,           0.0030239,             0.79271,             0.65557,             0.74438,             0.50358,            0.037739,            0.034226,           0.0082567,            0.000694,            0.000694,            0.000694
                  49,            0.040616,             0.05451,           0.0028879,              0.7923,             0.65837,             0.74515,             0.50323,            0.037711,            0.034218,           0.0082228,            0.000496,            0.000496,            0.000496
